annotations,split,image_id,panoid,heading,gsv_image_path
"[{'category_id': 1,'bbox':[52, 35, 83, 66],'bbox_mode': 0}]",train,image1313596,1313596,203,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_1313596_203.jpg
"[{'category_id': 1,'bbox':[146, 361, 175, 390],'bbox_mode': 0}]",train,image2328674,2328674,16,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_2328674_16.jpg
"[{'category_id': 1,'bbox':[477, 332, 504, 358],'bbox_mode': 0}]",train,image127704,127704,166,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_127704_166.jpg
"[{'category_id': 1,'bbox':[461, 344, 490, 374],'bbox_mode': 0}]",train,image153282,153282,121,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_153282_121.jpg
"[{'category_id': 1,'bbox':[532, 95, 559, 124],'bbox_mode': 0}]",train,image383686,383686,3,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_383686_3.jpg
"[{'category_id': 1,'bbox':[309, 327, 338, 356],'bbox_mode': 0}]",train,image138169,138169,59,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_138169_59.jpg
"[{'category_id': 1,'bbox':[342, 213, 363, 229],'bbox_mode': 0}]",train,image207727,207727,22,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_207727_22.jpg
"[{'category_id': 1,'bbox':[379, 302, 411, 335],'bbox_mode': 0}]",train,image109410,109410,59,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_109410_59.jpg
"[{'category_id': 1,'bbox':[95, 302, 124, 330],'bbox_mode': 0}]",train,image1254927,1254927,177,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_1254927_177.jpg
"[{'category_id': 1,'bbox':[365, 278, 393, 305],'bbox_mode': 0}]",train,image218307,218307,84,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_218307_84.jpg
"[{'category_id': 1,'bbox':[396, 336, 424, 369],'bbox_mode': 0}]",train,image127109,127109,37,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_127109_37.jpg
"[{'category_id': 1,'bbox':[606, 172, 633, 199],'bbox_mode': 0}]",train,image102155,102155,71,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_102155_71.jpg
"[{'category_id': 1,'bbox':[139, 270, 167, 298],'bbox_mode': 0}]",train,image104387,104387,73,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_104387_73.jpg
"[{'category_id': 1,'bbox':[447, 317, 474, 344],'bbox_mode': 0}]",train,image240774,240774,6,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_240774_6.jpg
"[{'category_id': 1,'bbox':[255, 350, 287, 381],'bbox_mode': 0}]",train,image101264,101264,57,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_101264_57.jpg
"[{'category_id': 1,'bbox':[264, 348, 292, 377],'bbox_mode': 0}]",train,image129107,129107,31,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_129107_31.jpg
"[{'category_id': 1,'bbox':[591, 274, 622, 303],'bbox_mode': 0}]",train,image125884,125884,58,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_125884_58.jpg
"[{'category_id': 1,'bbox':[24, 270, 55, 302],'bbox_mode': 0}]",train,image974659,974659,245,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_974659_245.jpg
"[{'category_id': 1,'bbox':[188, 296, 219, 325],'bbox_mode': 0}]",train,image126801,126801,229,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_126801_229.jpg
"[{'category_id': 1,'bbox':[178, 201, 206, 236],'bbox_mode': 0}]",train,image215628,215628,47,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_215628_47.jpg
"[{'category_id': 1,'bbox':[120, 306, 147, 334],'bbox_mode': 0}]",train,image668781,668781,70,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_668781_70.jpg
"[{'category_id': 1,'bbox':[233, 300, 268, 329],'bbox_mode': 0}]",train,image115447,115447,69,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_115447_69.jpg
"[{'category_id': 1,'bbox':[608, 111, 638, 142],'bbox_mode': 0}]",train,image384409,384409,32,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_384409_32.jpg
"[{'category_id': 1,'bbox':[465, 276, 490, 303],'bbox_mode': 0}]",train,image141739,141739,38,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_141739_38.jpg
"[{'category_id': 1,'bbox':[43, 279, 72, 309],'bbox_mode': 0}]",train,image110819,110819,235,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_110819_235.jpg
"[{'category_id': 1,'bbox':[109, 146, 140, 182],'bbox_mode': 0}]",train,image1379686,1379686,80,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_1379686_80.jpg
"[{'category_id': 1,'bbox':[486, 311, 525, 340],'bbox_mode': 0}]",train,image123021,123021,162,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_123021_162.jpg
"[{'category_id': 1,'bbox':[549, 312, 579, 343],'bbox_mode': 0}]",train,image137728,137728,116,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_137728_116.jpg
"[{'category_id': 1,'bbox':[7, 281, 48, 314],'bbox_mode': 0}]",train,image164272,164272,71,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_164272_71.jpg
"[{'category_id': 1,'bbox':[70, 248, 104, 281],'bbox_mode': 0}]",train,image117890,117890,9,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_117890_9.jpg
"[{'category_id': 1,'bbox':[187, 207, 226, 241],'bbox_mode': 0}]",train,image153575,153575,68,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_153575_68.jpg
"[{'category_id': 1,'bbox':[601, 232, 636, 264],'bbox_mode': 0}]",train,image209118,209118,0,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_209118_0.jpg
"[{'category_id': 1,'bbox':[366, 232, 395, 265],'bbox_mode': 0}]",train,image120634,120634,174,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_120634_174.jpg
"[{'category_id': 1,'bbox':[169, 138, 203, 171],'bbox_mode': 0}]",train,image110048,110048,65,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_110048_65.jpg
"[{'category_id': 1,'bbox':[389, 334, 419, 369],'bbox_mode': 0}]",train,image138822,138822,36,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_138822_36.jpg
"[{'category_id': 1,'bbox':[35, 298, 63, 326],'bbox_mode': 0}]",train,image1198360,1198360,22,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_1198360_22.jpg
"[{'category_id': 1,'bbox':[517, 287, 548, 315],'bbox_mode': 0}]",train,image1063243,1063243,195,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_1063243_195.jpg
"[{'category_id': 1,'bbox':[147, 274, 175, 302],'bbox_mode': 0}]",train,image2694211,2694211,54,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_2694211_54.jpg
"[{'category_id': 1,'bbox':[170, 300, 202, 329],'bbox_mode': 0}]",train,image210262,210262,16,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_210262_16.jpg
"[{'category_id': 1,'bbox':[249, 94, 275, 122],'bbox_mode': 0}]",train,image753947,753947,243,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_753947_243.jpg
"[{'category_id': 1,'bbox':[137, 122, 193, 161],'bbox_mode': 0}]",train,image1002225,1002225,100,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_1002225_100.jpg
"[{'category_id': 1,'bbox':[511, 324, 526, 336],'bbox_mode': 0}]",train,image208609,208609,166,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_208609_166.jpg
"[{'category_id': 1,'bbox':[98, 290, 128, 321],'bbox_mode': 0}]",train,image108181,108181,11,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_108181_11.jpg
"[{'category_id': 1,'bbox':[422, 326, 454, 353],'bbox_mode': 0}]",train,image328950,328950,58,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_328950_58.jpg
"[{'category_id': 1,'bbox':[206, 273, 234, 301],'bbox_mode': 0}]",train,image235585,235585,59,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_235585_59.jpg
"[{'category_id': 1,'bbox':[238, 179, 271, 210],'bbox_mode': 0}]",train,image219233,219233,91,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_219233_91.jpg
"[{'category_id': 1,'bbox':[236, 230, 264, 259],'bbox_mode': 0}]",train,image604531,604531,157,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_604531_157.jpg
"[{'category_id': 1,'bbox':[295, 269, 326, 302],'bbox_mode': 0}]",train,image776193,776193,72,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_776193_72.jpg
"[{'category_id': 1,'bbox':[610, 335, 639, 364],'bbox_mode': 0}]",train,image104728,104728,21,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_104728_21.jpg
"[{'category_id': 1,'bbox':[113, 286, 142, 315],'bbox_mode': 0}]",train,image711887,711887,55,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_711887_55.jpg
"[{'category_id': 1,'bbox':[430, 306, 460, 335],'bbox_mode': 0}]",train,image214201,214201,93,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_214201_93.jpg
"[{'category_id': 1,'bbox':[150, 87, 177, 118],'bbox_mode': 0}]",train,image656430,656430,175,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_656430_175.jpg
"[{'category_id': 1,'bbox':[446, 212, 478, 240],'bbox_mode': 0}]",train,image1087701,1087701,64,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_1087701_64.jpg
"[{'category_id': 1,'bbox':[384, 337, 412, 363],'bbox_mode': 0}]",train,image104311,104311,175,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_104311_175.jpg
"[{'category_id': 1,'bbox':[56, 183, 83, 212],'bbox_mode': 0}]",train,image373741,373741,219,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_373741_219.jpg
"[{'category_id': 1,'bbox':[291, 294, 319, 324],'bbox_mode': 0}]",train,image120117,120117,23,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_120117_23.jpg
"[{'category_id': 1,'bbox':[83, 306, 116, 335],'bbox_mode': 0}]",train,image131212,131212,137,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_131212_137.jpg
"[{'category_id': 1,'bbox':[395, 267, 428, 303],'bbox_mode': 0}]",train,image824747,824747,140,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_824747_140.jpg
"[{'category_id': 1,'bbox':[212, 254, 245, 289],'bbox_mode': 0}]",train,image1702928,1702928,210,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_1702928_210.jpg
"[{'category_id': 1,'bbox':[296, 348, 324, 375],'bbox_mode': 0}]",train,image221601,221601,269,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_221601_269.jpg
"[{'category_id': 1,'bbox':[213, 205, 244, 244],'bbox_mode': 0}]",train,image713184,713184,77,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_713184_77.jpg
"[{'category_id': 1,'bbox':[173, 263, 201, 292],'bbox_mode': 0}]",train,image120940,120940,165,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_120940_165.jpg
"[{'category_id': 1,'bbox':[520, 292, 559, 328],'bbox_mode': 0}]",train,image145829,145829,26,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_145829_26.jpg
"[{'category_id': 1,'bbox':[220, 320, 255, 352],'bbox_mode': 0}]",train,image133835,133835,129,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_133835_129.jpg
"[{'category_id': 1,'bbox':[592, 313, 623, 340],'bbox_mode': 0}]",train,image721371,721371,74,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_721371_74.jpg
"[{'category_id': 1,'bbox':[165, 247, 195, 280],'bbox_mode': 0}]",train,image1042279,1042279,169,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_1042279_169.jpg
"[{'category_id': 1,'bbox':[326, 242, 359, 270],'bbox_mode': 0}]",train,image110268,110268,71,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_110268_71.jpg
"[{'category_id': 1,'bbox':[79, 292, 115, 322],'bbox_mode': 0}]",train,image198909,198909,47,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_198909_47.jpg
"[{'category_id': 1,'bbox':[209, 180, 238, 212],'bbox_mode': 0}]",train,image1305716,1305716,157,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_1305716_157.jpg
"[{'category_id': 1,'bbox':[334, 135, 362, 167],'bbox_mode': 0}]",train,image165679,165679,119,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_165679_119.jpg
"[{'category_id': 1,'bbox':[612, 293, 640, 324],'bbox_mode': 0}]",train,image380359,380359,183,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_380359_183.jpg
"[{'category_id': 1,'bbox':[341, 281, 370, 311],'bbox_mode': 0}]",train,image225775,225775,225,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_225775_225.jpg
"[{'category_id': 1,'bbox':[38, 340, 67, 369],'bbox_mode': 0}]",train,image150948,150948,68,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_150948_68.jpg
"[{'category_id': 1,'bbox':[236, 180, 267, 210],'bbox_mode': 0}]",train,image1658217,1658217,91,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_1658217_91.jpg
"[{'category_id': 1,'bbox':[162, 340, 190, 367],'bbox_mode': 0}]",train,image371288,371288,74,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_371288_74.jpg
"[{'category_id': 1,'bbox':[453, 299, 482, 328],'bbox_mode': 0}]",train,image152172,152172,89,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_152172_89.jpg
"[{'category_id': 1,'bbox':[103, 330, 129, 356],'bbox_mode': 0}]",train,image335911,335911,43,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_335911_43.jpg
"[{'category_id': 1,'bbox':[398, 123, 441, 156],'bbox_mode': 0}]",train,image138362,138362,81,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_138362_81.jpg
"[{'category_id': 1,'bbox':[256, 325, 282, 350],'bbox_mode': 0}]",train,image325995,325995,258,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_325995_258.jpg
"[{'category_id': 1,'bbox':[189, 78, 215, 107],'bbox_mode': 0}]",train,image605422,605422,79,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_605422_79.jpg
"[{'category_id': 1,'bbox':[189, 350, 201, 366],'bbox_mode': 0}]",train,image388482,388482,123,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_388482_123.jpg
"[{'category_id': 1,'bbox':[180, 256, 211, 289],'bbox_mode': 0}]",train,image139830,139830,153,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_139830_153.jpg
"[{'category_id': 1,'bbox':[466, 264, 488, 284],'bbox_mode': 0}]",train,image155574,155574,201,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_155574_201.jpg
"[{'category_id': 1,'bbox':[527, 322, 558, 351],'bbox_mode': 0}]",train,image132664,132664,51,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_132664_51.jpg
"[{'category_id': 1,'bbox':[344, 295, 373, 325],'bbox_mode': 0}]",train,image117804,117804,93,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_117804_93.jpg
"[{'category_id': 1,'bbox':[6, 282, 48, 314],'bbox_mode': 0}]",train,image208118,208118,71,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_208118_71.jpg
"[{'category_id': 1,'bbox':[495, 253, 532, 288],'bbox_mode': 0}]",train,image119104,119104,35,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_119104_35.jpg
"[{'category_id': 1,'bbox':[497, 161, 525, 194],'bbox_mode': 0}]",train,image750294,750294,136,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_750294_136.jpg
"[{'category_id': 1,'bbox':[86, 290, 114, 320],'bbox_mode': 0}]",train,image736085,736085,106,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_736085_106.jpg
"[{'category_id': 1,'bbox':[80, 322, 114, 352],'bbox_mode': 0}]",train,image104416,104416,78,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_104416_78.jpg
"[{'category_id': 1,'bbox':[397, 182, 438, 214],'bbox_mode': 0}]",train,image103202,103202,54,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_103202_54.jpg
"[{'category_id': 1,'bbox':[242, 293, 271, 323],'bbox_mode': 0}]",train,image343553,343553,224,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_343553_224.jpg
"[{'category_id': 1,'bbox':[526, 228, 560, 258],'bbox_mode': 0}]",train,image1438243,1438243,196,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_1438243_196.jpg
"[{'category_id': 1,'bbox':[288, 105, 321, 138],'bbox_mode': 0}]",train,image123021,123021,162,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_123021_162.jpg
"[{'category_id': 1,'bbox':[338, 260, 364, 289],'bbox_mode': 0}]",train,image115520,115520,22,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_115520_22.jpg
"[{'category_id': 1,'bbox':[61, 305, 80, 321],'bbox_mode': 0}]",train,image236834,236834,5,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_236834_5.jpg
"[{'category_id': 1,'bbox':[346, 169, 379, 199],'bbox_mode': 0}]",train,image134304,134304,106,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_134304_106.jpg
"[{'category_id': 1,'bbox':[192, 311, 218, 337],'bbox_mode': 0}]",train,image348870,348870,137,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_348870_137.jpg
"[{'category_id': 1,'bbox':[456, 328, 485, 356],'bbox_mode': 0}]",train,image238790,238790,103,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_238790_103.jpg
"[{'category_id': 1,'bbox':[65, 23, 97, 61],'bbox_mode': 0}]",train,image133142,133142,68,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_133142_68.jpg
"[{'category_id': 1,'bbox':[362, 115, 387, 143],'bbox_mode': 0}]",train,image209408,209408,58,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_209408_58.jpg
"[{'category_id': 1,'bbox':[414, 327, 440, 355],'bbox_mode': 0}]",train,image133128,133128,35,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_133128_35.jpg
"[{'category_id': 1,'bbox':[65, 259, 98, 294],'bbox_mode': 0}]",train,image126220,126220,35,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_126220_35.jpg
"[{'category_id': 1,'bbox':[234, 184, 268, 220],'bbox_mode': 0}]",train,image245920,245920,41,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_245920_41.jpg
"[{'category_id': 1,'bbox':[335, 331, 364, 359],'bbox_mode': 0}]",train,image114387,114387,29,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_114387_29.jpg
"[{'category_id': 1,'bbox':[380, 327, 412, 357],'bbox_mode': 0}]",train,image238183,238183,87,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_238183_87.jpg
"[{'category_id': 1,'bbox':[193, 319, 231, 351],'bbox_mode': 0}]",train,image133835,133835,129,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_133835_129.jpg
"[{'category_id': 1,'bbox':[86, 316, 116, 347],'bbox_mode': 0}]",train,image323766,323766,47,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_323766_47.jpg
"[{'category_id': 1,'bbox':[362, 115, 387, 143],'bbox_mode': 0}]",train,image350624,350624,58,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_350624_58.jpg
"[{'category_id': 1,'bbox':[568, 298, 597, 325],'bbox_mode': 0}]",train,image758420,758420,181,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_758420_181.jpg
"[{'category_id': 1,'bbox':[277, 288, 309, 316],'bbox_mode': 0}]",train,image611934,611934,10,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_611934_10.jpg
"[{'category_id': 1,'bbox':[512, 145, 544, 180],'bbox_mode': 0}]",train,image1379686,1379686,80,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_1379686_80.jpg
"[{'category_id': 1,'bbox':[47, 226, 85, 256],'bbox_mode': 0}]",train,image247859,247859,227,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_247859_227.jpg
"[{'category_id': 1,'bbox':[404, 353, 432, 381],'bbox_mode': 0}]",train,image118078,118078,47,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_118078_47.jpg
"[{'category_id': 1,'bbox':[515, 342, 542, 368],'bbox_mode': 0}]",train,image131537,131537,131,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_131537_131.jpg
"[{'category_id': 1,'bbox':[159, 321, 192, 355],'bbox_mode': 0}]",train,image371401,371401,215,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_371401_215.jpg
